function_name,function_type,dimension,point_index,point,multiindex,order,encoded_degree,exact_value,predicted_value,abs_error,squared_error
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","1,1",2,2.11,-1.4728769564627231,-1.4728769564627231,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","2,0",2,2.20,4.9060060246012664,4.9060060246012664,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","0,3",3,3.03,7.4442477094991606,7.4442477094991615,8.8817841970012523E-16,7.8886090522101181E-31
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","1,2",3,3.12,-1.9512107709280178,-1.9512107709280178,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","2,1",3,3.21,-4,-4,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","3,0",3,3.30,16.111310212603641,16.111310212603641,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","0,4",4,4.04,-29.268161563920266,-29.268161563920266,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","1,3",4,4.13,6,6,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","2,2",4,4.22,0,0,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","3,1",4,4.31,0,0,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","4,0",4,4.40,36,36,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","0,5",5,5.05,90,90,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","1,4",5,5.14,0,0,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","2,3",5,5.23,0,0,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","3,2",5,5.32,0,0,0,0
