function_name,function_type,dimension,point_index,point,multiindex,order,encoded_degree,exact_value,predicted_value,abs_error,squared_error
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","1,2",3,3.12,1.7412376395092701,1.7412376395092701,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","2,1",3,3.21,-4,-4,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","3,0",3,3.30,0.51660054160723412,0.51660054160723412,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","0,4",4,4.04,26.118564592639054,26.11856459263905,3.5527136788005009E-15,1.2621774483536189E-29
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","1,3",4,4.13,6,6,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","2,2",4,4.22,0,0,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","3,1",4,4.31,0,0,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","4,0",4,4.40,36,36,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","0,5",5,5.05,90,90,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","1,4",5,5.14,0,0,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","2,3",5,5.23,0,0,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","3,2",5,5.32,0,0,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","4,1",5,5.41,0,0,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","5,0",5,5.50,0,0,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","0,1",1,1.01,0.10111819207950482,0.10111819207950482,0,0
poly_2d,polynomial,2,4,"0.27229004677082258;-0.41355796670064443","1,0",1,1.10,0.50082853280540418,0.50082853280540418,0,0
